AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 1:2	And the earth was without form, and void; and darkness was on the face of the deep. And the Spirit of God moved on the face of the waters.
Genesis 1:3	And God said, Let there be light: and there was light.
Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Genesis 1:5	And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.
Genesis 1:6	And God said, Let there be a firmament in the middle of the waters, and let it divide the waters from the waters.
Genesis 1:7	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.
Genesis 1:8	And God called the firmament Heaven. And the evening and the morning were the second day.
Genesis 1:9	And God said, Let the waters under the heaven be gathered together to one place, and let the dry land appear: and it was so.
Genesis 1:10	And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
Genesis 1:11	And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, on the earth: and it was so.
Genesis 1:12	And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.
Genesis 1:13	And the evening and the morning were the third day.
Genesis 1:14	And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:
Genesis 1:15	And let them be for lights in the firmament of the heaven to give light on the earth: and it was so.
Genesis 1:16	And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.
Genesis 1:17	And God set them in the firmament of the heaven to give light on the earth,
Genesis 1:18	And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.
Genesis 1:19	And the evening and the morning were the fourth day.
Genesis 1:20	And God said, Let the waters bring forth abundantly the moving creature that has life, and fowl that may fly above the earth in the open firmament of heaven.
Genesis 1:21	And God created great whales, and every living creature that moves, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.
Genesis 1:22	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.
Genesis 1:23	And the evening and the morning were the fifth day.
Genesis 1:24	And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.
Genesis 1:25	And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creeps on the earth after his kind: and God saw that it was good.
Genesis 1:26	And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creeps on the earth.
Genesis 1:27	So God created man in his own image, in the image of God created he him; male and female created he them.
Genesis 1:28	And God blessed them, and God said to them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moves on the earth.
Genesis 1:29	And God said, Behold, I have given you every herb bearing seed, which is on the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.
Genesis 1:30	And to every beast of the earth, and to every fowl of the air, and to every thing that creeps on the earth, wherein there is life, I have given every green herb for meat: and it was so.
Genesis 1:31	And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.
Genesis 2:1	Thus the heavens and the earth were finished, and all the host of them.
Genesis 2:2	And on the seventh day God ended his work which he had made; and he rested on the seventh day from all his work which he had made.
Genesis 2:3	And God blessed the seventh day, and sanctified it: because that in it he had rested from all his work which God created and made.
Genesis 2:4	These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,
Genesis 2:5	And every plant of the field before it was in the earth, and every herb of the field before it grew: for the LORD God had not caused it to rain on the earth, and there was not a man to till the ground.
Genesis 2:6	But there went up a mist from the earth, and watered the whole face of the ground.
Genesis 2:7	And the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
Genesis 2:8	And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.
Genesis 2:9	And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the middle of the garden, and the tree of knowledge of good and evil.
Genesis 2:10	And a river went out of Eden to water the garden; and from there it was parted, and became into four heads.
Genesis 2:11	The name of the first is Pison: that is it which compasses the whole land of Havilah, where there is gold;
Genesis 2:12	And the gold of that land is good: there is bdellium and the onyx stone.
Genesis 2:13	And the name of the second river is Gihon: the same is it that compasses the whole land of Ethiopia.
Genesis 2:14	And the name of the third river is Hiddekel: that is it which goes toward the east of Assyria. And the fourth river is Euphrates.
Genesis 2:15	And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it.
Genesis 2:16	And the LORD God commanded the man, saying, Of every tree of the garden you may freely eat:
Genesis 2:17	But of the tree of the knowledge of good and evil, you shall not eat of it: for in the day that you eat thereof you shall surely die.
Genesis 2:18	And the LORD God said, It is not good that the man should be alone; I will make him an help meet for him.
Genesis 2:19	And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them to Adam to see what he would call them: and whatever Adam called every living creature, that was the name thereof.
Genesis 2:20	And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found an help meet for him.
Genesis 2:21	And the LORD God caused a deep sleep to fall on Adam, and he slept: and he took one of his ribs, and closed up the flesh instead thereof;
Genesis 2:22	And the rib, which the LORD God had taken from man, made he a woman, and brought her to the man.
Genesis 2:23	And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.
Genesis 2:24	Therefore shall a man leave his father and his mother, and shall join to his wife: and they shall be one flesh.
Genesis 2:25	And they were both naked, the man and his wife, and were not ashamed.
Genesis 3:1	Now the serpent was more subtle than any beast of the field which the LORD God had made. And he said to the woman, Yes, has God said, You shall not eat of every tree of the garden?
Genesis 3:2	And the woman said to the serpent, We may eat of the fruit of the trees of the garden:
Genesis 3:3	But of the fruit of the tree which is in the middle of the garden, God has said, You shall not eat of it, neither shall you touch it, lest you die.
Genesis 3:4	And the serpent said to the woman, You shall not surely die:
Genesis 3:5	For God does know that in the day you eat thereof, then your eyes shall be opened, and you shall be as gods, knowing good and evil.
Genesis 3:6	And when the woman saw that the tree was good for food, and that it was pleasant to the eyes, and a tree to be desired to make one wise, she took of the fruit thereof, and did eat, and gave also to her husband with her; and he did eat.
Genesis 3:7	And the eyes of them both were opened, and they knew that they were naked; and they sewed fig leaves together, and made themselves aprons.
Genesis 3:8	And they heard the voice of the LORD God walking in the garden in the cool of the day: and Adam and his wife hid themselves from the presence of the LORD God among the trees of the garden.
Genesis 3:9	And the LORD God called to Adam, and said to him, Where are you?
Genesis 3:10	And he said, I heard your voice in the garden, and I was afraid, because I was naked; and I hid myself.
Genesis 3:11	And he said, Who told you that you were naked? Have you eaten of the tree, whereof I commanded you that you should not eat?
Genesis 3:12	And the man said, The woman whom you gave to be with me, she gave me of the tree, and I did eat.
Genesis 3:13	And the LORD God said to the woman, What is this that you have done? And the woman said, The serpent beguiled me, and I did eat.
Genesis 3:14	And the LORD God said to the serpent, Because you have done this, you are cursed above all cattle, and above every beast of the field; on your belly shall you go, and dust shall you eat all the days of your life:
Genesis 3:15	And I will put enmity between you and the woman, and between your seed and her seed; it shall bruise your head, and you shall bruise his heel.
Genesis 3:16	To the woman he said, I will greatly multiply your sorrow and your conception; in sorrow you shall bring forth children; and your desire shall be to your husband, and he shall rule over you.
Genesis 3:17	And to Adam he said, Because you have listened to the voice of your wife, and have eaten of the tree, of which I commanded you, saying, You shall not eat of it: cursed is the ground for your sake; in sorrow shall you eat of it all the days of your life;
Genesis 3:18	Thorns also and thistles shall it bring forth to you; and you shall eat the herb of the field;
Genesis 3:19	In the sweat of your face shall you eat bread, till you return to the ground; for out of it were you taken: for dust you are, and to dust shall you return.
Genesis 3:20	And Adam called his wife’s name Eve; because she was the mother of all living.
Genesis 3:21	To Adam also and to his wife did the LORD God make coats of skins, and clothed them.
Genesis 3:22	And the LORD God said, Behold, the man is become as one of us, to know good and evil: and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever:
Genesis 3:23	Therefore the LORD God sent him forth from the garden of Eden, to till the ground from from where he was taken.
Genesis 3:24	So he drove out the man; and he placed at the east of the garden of Eden Cherubim, and a flaming sword which turned every way, to keep the way of the tree of life.
Genesis 4:1	And Adam knew Eve his wife; and she conceived, and bore Cain, and said, I have gotten a man from the LORD.
Genesis 4:2	And she again bore his brother Abel. And Abel was a keeper of sheep, but Cain was a tiller of the ground.
Genesis 4:3	And in process of time it came to pass, that Cain brought of the fruit of the ground an offering to the LORD.
Genesis 4:4	And Abel, he also brought of the firstborn of his flock and of the fat thereof. And the LORD had respect to Abel and to his offering:
Genesis 4:5	But to Cain and to his offering he had not respect. And Cain was very wroth, and his countenance fell.
Genesis 4:6	And the LORD said to Cain, Why are you wroth? and why is your countenance fallen?
Genesis 4:7	If you do well, shall you not be accepted? and if you do not well, sin lies at the door. And to you shall be his desire, and you shall rule over him.
Genesis 4:8	And Cain talked with Abel his brother: and it came to pass, when they were in the field, that Cain rose up against Abel his brother, and slew him.
Genesis 4:9	And the LORD said to Cain, Where is Abel your brother? And he said, I know not: Am I my brother’s keeper?
Genesis 4:10	And he said, What have you done? the voice of your brother’s blood cries to me from the ground.
Genesis 4:11	And now are you cursed from the earth, which has opened her mouth to receive your brother’s blood from your hand;
Genesis 4:12	When you till the ground, it shall not from now on yield to you her strength; a fugitive and a vagabond shall you be in the earth.
Genesis 4:13	And Cain said to the LORD, My punishment is greater than I can bear.
Genesis 4:14	Behold, you have driven me out this day from the face of the earth; and from your face shall I be hid; and I shall be a fugitive and a vagabond in the earth; and it shall come to pass, that every one that finds me shall slay me.
Genesis 4:15	And the LORD said to him, Therefore whoever slays Cain, vengeance shall be taken on him sevenfold. And the LORD set a mark on Cain, lest any finding him should kill him.
Genesis 4:16	And Cain went out from the presence of the LORD, and dwelled in the land of Nod, on the east of Eden.
Genesis 4:17	And Cain knew his wife; and she conceived, and bore Enoch: and he built a city, and called the name of the city, after the name of his son, Enoch.
Genesis 4:18	And to Enoch was born Irad: and Irad begat Mehujael: and Mehujael begat Methusael: and Methusael begat Lamech.
Genesis 4:19	And Lamech took to him two wives: the name of the one was Adah, and the name of the other Zillah.
Genesis 4:20	And Adah bore Jabal: he was the father of such as dwell in tents, and of such as have cattle.
Genesis 4:21	And his brother’s name was Jubal: he was the father of all such as handle the harp and organ.
Genesis 4:22	And Zillah, she also bore Tubalcain, an instructor of every artificer in brass and iron: and the sister of Tubalcain was Naamah.
Genesis 4:23	And Lamech said to his wives, Adah and Zillah, Hear my voice; you wives of Lamech, listen to my speech: for I have slain a man to my wounding, and a young man to my hurt.
Genesis 4:24	If Cain shall be avenged sevenfold, truly Lamech seventy and sevenfold.
Genesis 4:25	And Adam knew his wife again; and she bore a son, and called his name Seth: For God, said she, has appointed me another seed instead of Abel, whom Cain slew.
Genesis 4:26	And to Seth, to him also there was born a son; and he called his name Enos: then began men to call on the name of the LORD.
Genesis 5:1	This is the book of the generations of Adam. In the day that God created man, in the likeness of God made he him;
Genesis 5:2	Male and female created he them; and blessed them, and called their name Adam, in the day when they were created.
Genesis 5:3	And Adam lived an hundred and thirty years, and begat a son in his own likeness, and after his image; and called his name Seth:
Genesis 5:4	And the days of Adam after he had begotten Seth were eight hundred years: and he begat sons and daughters:
Genesis 5:5	And all the days that Adam lived were nine hundred and thirty years: and he died.
Genesis 5:6	And Seth lived an hundred and five years, and begat Enos:
Genesis 5:7	And Seth lived after he begat Enos eight hundred and seven years, and begat sons and daughters:
Genesis 5:8	And all the days of Seth were nine hundred and twelve years: and he died.
Genesis 5:9	And Enos lived ninety years, and begat Cainan:
Genesis 5:10	And Enos lived after he begat Cainan eight hundred and fifteen years, and begat sons and daughters:
Genesis 5:11	And all the days of Enos were nine hundred and five years: and he died.
Genesis 5:12	And Cainan lived seventy years and begat Mahalaleel:
Genesis 5:13	And Cainan lived after he begat Mahalaleel eight hundred and forty years, and begat sons and daughters:
Genesis 5:14	And all the days of Cainan were nine hundred and ten years: and he died.
Genesis 5:15	And Mahalaleel lived sixty and five years, and begat Jared:
Genesis 5:16	And Mahalaleel lived after he begat Jared eight hundred and thirty years, and begat sons and daughters:
Genesis 5:17	And all the days of Mahalaleel were eight hundred ninety and five years: and he died.
Genesis 5:18	And Jared lived an hundred sixty and two years, and he begat Enoch:
Genesis 5:19	And Jared lived after he begat Enoch eight hundred years, and begat sons and daughters:
Genesis 5:20	And all the days of Jared were nine hundred sixty and two years: and he died.
Genesis 5:21	And Enoch lived sixty and five years, and begat Methuselah:
Genesis 5:22	And Enoch walked with God after he begat Methuselah three hundred years, and begat sons and daughters:
Genesis 5:23	And all the days of Enoch were three hundred sixty and five years:
Genesis 5:24	And Enoch walked with God: and he was not; for God took him.
Genesis 5:25	And Methuselah lived an hundred eighty and seven years, and begat Lamech.
Genesis 5:26	And Methuselah lived after he begat Lamech seven hundred eighty and two years, and begat sons and daughters:
Genesis 5:27	And all the days of Methuselah were nine hundred sixty and nine years: and he died.
Genesis 5:28	And Lamech lived an hundred eighty and two years, and begat a son:
Genesis 5:29	And he called his name Noah, saying, This same shall comfort us concerning our work and toil of our hands, because of the ground which the LORD has cursed.
Genesis 5:30	And Lamech lived after he begat Noah five hundred ninety and five years, and begat sons and daughters:
Genesis 5:31	And all the days of Lamech were seven hundred seventy and seven years: and he died.
Genesis 5:32	And Noah was five hundred years old: and Noah begat Shem, Ham, and Japheth.
Genesis 6:1	And it came to pass, when men began to multiply on the face of the earth, and daughters were born to them,
Genesis 6:2	That the sons of God saw the daughters of men that they were fair; and they took them wives of all which they chose.
Genesis 6:3	And the LORD said, My spirit shall not always strive with man, for that he also is flesh: yet his days shall be an hundred and twenty years.
Genesis 6:4	There were giants in the earth in those days; and also after that, when the sons of God came in to the daughters of men, and they bore children to them, the same became mighty men which were of old, men of renown.
Genesis 6:5	And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually.
Genesis 6:6	And it repented the LORD that he had made man on the earth, and it grieved him at his heart.
Genesis 6:7	And the LORD said, I will destroy man whom I have created from the face of the earth; both man, and beast, and the creeping thing, and the fowls of the air; for it repents me that I have made them.
Genesis 6:8	But Noah found grace in the eyes of the LORD.
Genesis 6:9	These are the generations of Noah: Noah was a just man and perfect in his generations, and Noah walked with God.
Genesis 6:10	And Noah begat three sons, Shem, Ham, and Japheth.
Genesis 6:11	The earth also was corrupt before God, and the earth was filled with violence.
Genesis 6:12	And God looked on the earth, and, behold, it was corrupt; for all flesh had corrupted his way on the earth.
Genesis 6:13	And God said to Noah, The end of all flesh is come before me; for the earth is filled with violence through them; and, behold, I will destroy them with the earth.
